2026-07-09 14:23:53 | INFO     | biryani.hardware.valve | Electronic Valve CLOSE
2026-07-09 14:23:56 | INFO     | biryani.services.cooking | Step 8/26: stop_valve — Adding ingredients
2026-07-09 14:23:56 | INFO     | biryani.hardware.valve | Electronic Valve STOP
2026-07-09 14:23:56 | INFO     | biryani.services.cooking | Step 9/26: rice_bowl_up_mixer_up — Cooking
2026-07-09 14:23:57 | INFO     | biryani.hardware.valve | Rice Bowl UP
2026-07-09 14:23:57 | INFO     | biryani.hardware.valve | Mixer UP
2026-07-09 14:24:13 | INFO     | biryani.services.cooking | Step 10/26: stop_bowls — Cooking
2026-07-09 14:24:14 | INFO     | biryani.hardware.valve | Rice Bowl STOP
2026-07-09 14:24:14 | INFO     | biryani.hardware.valve | Mixer STOP
2026-07-09 14:24:14 | INFO     | biryani.services.cooking | Step 11/26: position_motor_forward — Cooking
2026-07-09 14:24:14 | INFO     | biryani.hardware.stepper | Position Motor STOP
2026-07-09 14:24:14 | INFO     | biryani.hardware.stepper | Position Motor FORWARD 180 DEGREE
2026-07-09 14:24:17 | INFO     | biryani.hardware.stepper | Position Motor STOP
2026-07-09 14:24:17 | INFO     | biryani.services.cooking | Step 12/26: rice_bowl_down_valve_open — Finalizing
2026-07-09 14:24:18 | INFO     | biryani.hardware.valve | Rice Bowl DOWN
2026-07-09 14:24:18 | INFO     | biryani.hardware.valve | Electronic Valve STOP
2026-07-09 14:24:18 | INFO     | biryani.hardware.valve | Electronic Valve OPEN
2026-07-09 14:24:38 | INFO     | biryani.services.cooking | Step 13/26: electronic_valve_close_wait — Finalizing
2026-07-09 14:24:38 | INFO     | biryani.hardware.valve | Electronic Valve STOP
2026-07-09 14:24:38 | INFO     | biryani.hardware.valve | Electronic Valve CLOSE
2026-07-09 14:24:41 | INFO     | biryani.services.cooking | Step 14/26: stop_rice_bowl_valve — Finalizing
2026-07-09 14:24:41 | INFO     | biryani.hardware.valve | Rice Bowl STOP
2026-07-09 14:24:41 | INFO     | biryani.hardware.valve | Electronic Valve STOP
2026-07-09 14:24:41 | INFO     | biryani.services.cooking | Step 15/26: rice_bowl_up — Finalizing
2026-07-09 14:24:42 | INFO     | biryani.hardware.valve | Rice Bowl UP
2026-07-09 14:24:58 | INFO     | biryani.services.cooking | Step 16/26: stop_rice_bowl — Finalizing
2026-07-09 14:24:58 | INFO     | biryani.hardware.valve | Rice Bowl STOP
2026-07-09 14:24:58 | INFO     | biryani.services.cooking | Step 17/26: position_motor_backward — Finalizing
2026-07-09 14:24:58 | INFO     | biryani.hardware.stepper | Position Motor STOP
2026-07-09 14:24:58 | INFO     | biryani.hardware.stepper | Position Motor BACKWARD 180 DEGREE
2026-07-09 14:25:01 | INFO     | biryani.hardware.stepper | Position Motor STOP
2026-07-09 14:25:01 | INFO     | biryani.services.cooking | Step 18/26: mixer_down — Finalizing
2026-07-09 14:25:02 | INFO     | biryani.hardware.valve | Mixer DOWN
2026-07-09 14:25:18 | INFO     | biryani.services.cooking | Step 19/26: stop_mixer_hydraulic — Mixing
2026-07-09 14:25:18 | INFO     | biryani.hardware.valve | Mixer STOP
2026-07-09 14:25:18 | INFO     | biryani.services.cooking | Step 20/26: mixer_motor_on — Mixing
2026-07-09 14:25:18 | INFO     | biryani.hardware.stirrer | Mixer Motor ON
2026-07-09 14:25:48 | INFO     | biryani.services.cooking | Step 21/26: mixer_motor_off — Mixing
2026-07-09 14:25:48 | INFO     | biryani.hardware.stirrer | Mixer Motor OFF
2026-07-09 14:25:48 | INFO     | biryani.services.cooking | Step 22/26: mixer_up — Ready to Serve
2026-07-09 14:25:49 | INFO     | biryani.hardware.valve | Mixer UP
2026-07-09 14:26:05 | INFO     | biryani.services.cooking | Step 23/26: stop_mixer_hydraulic — Ready to Serve
2026-07-09 14:26:05 | INFO     | biryani.hardware.valve | Mixer STOP
2026-07-09 14:26:05 | INFO     | biryani.services.cooking | Step 24/26: position_motor_forward — Ready to Serve
2026-07-09 14:26:05 | INFO     | biryani.hardware.stepper | Position Motor STOP
2026-07-09 14:26:05 | INFO     | biryani.hardware.stepper | Position Motor FORWARD 180 DEGREE
2026-07-09 14:26:08 | INFO     | biryani.hardware.stepper | Position Motor STOP
2026-07-09 14:26:08 | INFO     | biryani.services.cooking | Step 25/26: rice_bowl_down — Ready to Serve
2026-07-09 14:26:09 | INFO     | biryani.hardware.valve | Rice Bowl DOWN
2026-07-09 14:26:25 | INFO     | biryani.services.cooking | Step 26/26: stop_rice_bowl — Ready to Serve
2026-07-09 14:26:25 | INFO     | biryani.hardware.valve | Rice Bowl STOP
